更新时间: 2026-04-11 05:03:42（北京时间）

更新时间,#genre#
2026-04-11 05:03:42,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV10,http://116.237.61.115:4022/rtp/233.18.204.76:5140$上海市电信
CCTV10,http://106.116.240.74:9999/rtp/239.254.200.160:6000$河北省电信
CCTV11,http://27.10.95.231:4022/rtp/225.0.4.218:7980$重庆市联通
CCTV11,http://115.171.216.58:4000/rtp/225.1.8.73:8120$北京市电信
CCTV11,http://27.14.208.229:8000/rtp/225.0.4.218:7980$重庆市联通
CCTV11,http://180.173.121.65:9999/rtp/233.18.204.77:5140$上海市电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://116.237.61.115:4022/rtp/233.18.204.77:5140$上海市电信
CCTV11,http://106.116.240.74:9999/rtp/239.254.201.123:8120$河北省电信
CCTV12,http://27.10.95.231:4022/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://115.171.216.58:4000/rtp/225.1.8.12:8124$北京市电信
CCTV12,http://27.14.208.229:8000/rtp/225.0.4.129:7980$重庆市联通
CCTV12,http://180.173.121.65:9999/rtp/233.18.204.78:5140$上海市电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://116.237.61.115:4022/rtp/233.18.204.78:5140$上海市电信
CCTV12,http://106.116.240.74:9999/rtp/239.254.200.161:6000$河北省电信
CCTV13,http://27.10.95.231:4022/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://115.171.216.58:4000/rtp/225.1.8.168:8130$北京市电信
CCTV13,http://27.14.208.229:8000/rtp/225.0.4.219:7980$重庆市联通
CCTV13,http://180.173.121.65:9999/rtp/233.18.204.79:5140$上海市电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://116.237.61.115:4022/rtp/233.18.204.79:5140$上海市电信
CCTV13,http://106.116.240.74:9999/rtp/239.254.200.9:8264$河北省电信
CCTV14,http://27.10.95.231:4022/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://115.171.216.58:4000/rtp/225.1.8.14:8132$北京市电信
CCTV14,http://27.14.208.229:8000/rtp/225.0.4.128:7980$重庆市联通
CCTV14,http://180.173.121.65:9999/rtp/233.18.204.80:5140$上海市电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://116.237.61.115:4022/rtp/233.18.204.80:5140$上海市电信
CCTV14,http://106.116.240.74:9999/rtp/239.254.200.162:6000$河北省电信
CCTV15,http://27.10.95.231:4022/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://115.171.216.58:4000/rtp/225.1.8.74:8136$北京市电信
CCTV15,http://27.14.208.229:8000/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://180.173.121.65:9999/rtp/233.18.204.81:5140$上海市电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://116.237.61.115:4022/rtp/233.18.204.81:5140$上海市电信
CCTV15,http://106.116.240.74:9999/rtp/239.254.201.124:8136$河北省电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://180.173.121.65:9999/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://106.116.240.74:9999/rtp/239.254.200.61:6344$河北省电信
CCTV17,http://27.10.95.231:4022/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://115.171.216.58:4000/rtp/225.1.8.17:8144$北京市电信
CCTV17,http://27.14.208.229:8000/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://180.173.121.65:9999/rtp/233.18.204.83:5140$上海市电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://116.237.61.115:4022/rtp/233.18.204.83:5140$上海市电信
CCTV17,http://106.116.240.74:9999/rtp/239.254.201.120:8144$河北省电信
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://180.173.121.65:9999/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://116.237.61.115:4022/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://116.237.61.115:4022/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
兵器科技,http://180.173.121.65:9999/rtp/233.18.204.178:5140$上海市电信
兵器科技,http://116.237.61.115:4022/rtp/233.18.204.178:5140$上海市电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
风云音乐,http://180.173.121.65:9999/rtp/233.18.204.185:5140$上海市电信
风云音乐,http://116.237.61.115:4022/rtp/233.18.204.185:5140$上海市电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
风云足球,http://180.173.121.65:9999/rtp/233.18.204.176:5140$上海市电信
风云足球,http://116.237.61.115:4022/rtp/233.18.204.176:5140$上海市电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云剧场,http://180.173.121.65:9999/rtp/233.18.204.183:5140$上海市电信
风云剧场,http://116.237.61.115:4022/rtp/233.18.204.183:5140$上海市电信
